Head Title
"Vietthao","Vietnamesisches Restaurant","4.5","34","Friedrichstr.2","1010","Wien","Innere Stadt","01 5852031","","€ 11-20"
"Inigo","Beisl","4.5","23","Bäckerstr. 18","1010","Wien","Innere Stadt","01 5127451","inigo.at","€ 11-20"
"Teka-Sushi","Japanisches RestaurantSushiAsiatisches Restaurant","4.5","15","Billrothstr. 5","1190","Wien","Döbling","01 9610630","tekasushi.at","€ 11-20"
"Soupkultur","Suppe & Eintopf","4.5","21","Wipplingerstr. 32","1010","Wien","Innere Stadt","01 5324628","soupkultur.at","€ 11-20"
"I Ragazzi","PizzaItalienisches Restaurant","4.0","45","Burggasse 6-8","1070","Wien","Neubau, Spittelberg","01 5226325","iragazzi.at","€ 11-20"
"Hidden Kitchen","Vegetarisches RestaurantSalatSuppe & Eintopf","4.5","20","Färbergasse 3","1010","Wien","Innere Stadt","01 2768398","hiddenkitchen.at","€ 11-20"
"Zina’s","Mediterranes Restaurant","5.0","13","Praterstr. 55","1020","Wien","Leopoldstadt","01 2121881","zinas.at","€ 11-20"
"Elefant & Castle","Smoothies & SaftbarIndisches Restaurant","4.5","21","Neubaugasse 45","1070","Wien","Neubau","0699 19208459","elefantcastle.at","€ 11-20"
"That’s Amore","PizzaItalienisches Restaurant","4.5","28","Messenhausergasse 13","1030","Wien","Landstraße","01 3439518","thatsamore.at","€ 11-20"
"Pasta... e Basta","Italienisches Restaurant","4.0","22","Werdertorgasse 10","1010","Wien","Innere Stadt","01 7966542","pastaebasta.at","€ 11-20"
"Natsu","SushiJapanisches Restaurant","4.0","36","Burggasse 71","1070","Wien","Neubau","01 5221903","","Unter € 10"
"","Indisches Restaurant","4.5","12","Fluchtgasse 1","1090","Wien","Alsergrund","01 3101777","tulsi.co.at","€ 11-20"
"Okinawa Sushi Bar","Sushi","4.5","9","Währinger Str. 52","1090","Wien","Alsergrund","01 9421062","","Unter € 10"
"Blueorange","CaféBagelsCoffee ShopCafesCoffee & Tea ShopsBreakfast & Brunch","4.0","3334","Margaretenstr. 9","1040","Wien","Wieden, Freihausviertel","01 5811770","blueorange.co.at","€ 11-20"
"Latte Grande","Italienisches RestaurantBar","4.0","34","Währinger Gürtel 139","1180","Wien","Döbling","01 3301590","lattegrande.at","€ 11-20"
"","Österreichisches RestaurantBar","4.5","11","Reichsratsstr. 11","1010","Wien","Innere Stadt","0650 3320213","schrittesser.at","€ 21-40"
"Nam Nam Deli","Indisches RestaurantFast Food","4.0","16","Arbeitergasse 8","1050","Wien","Margareten","01 9416511","nam-nam.at/dabba","€ 11-20"
"Akakiko","Japanisches Restaurant","4.0","33","Mariahilfer Str. 42-48","1070","Wien","Neubau","057 333150","akakiko.at","€ 11-20"
"Natraj","Indisches Restaurant","4.5","7","Marchettigasse 18","1060","Wien","Mariahilf","01 5954502","",""
"Chimbiss","Deutsches Restaurant","5.0","7","Nelkengasse 1","1060","Wien","Mariahilf","01 5852685","chimbiss.at","€ 11-20"
"Xo-Noodles","Chinesisches RestaurantItalienisches RestaurantAmerikanisches RestaurantBarAsiatisches Restaurant","4.0","115513","Kärntner Ring 11-13","1010","Wien","Innere Stadt","01 5338390","xo-noodles.com","€ 11-20"
"Cipollino","PizzaItalienisches Restaurant","4.5","12","Rückertgasse 33","1160","Wien","Ottakring","01 4854866","cipollino.at","€ 21-40"
"Kimchi","Koreanisches RestaurantThailändisches Restaurant","4.5","17","Marxergasse  15","1030","Wien","Landstraße","01 7133734","kimchi-wien.at","€ 11-20"
"Hollerei","Vegetarisches Restaurant","4.0","49","Hollergasse 9","1150","Wien","Rudolfsheim-Fünfhaus","01 8923356","hollerei.at","€ 11-20"
"neuDeli","Internationales Restaurant","4.5","8","Wipplingerstr. 20","1010","Wien","Innere Stadt","0664 5725338","neudeli.at","Unter € 10"
"","Restaurant","4.5","11","Fleischmarkt 16","1010","Wien","Innere Stadt","01 5132318","ef16.at","€ 21-40"
"Kebab Haus-Oase","Türkisches Restaurant","4.5","7","Friedmanngasse 14","1160","Wien","Ottakring","01 4098167","","€ 11-20"
"Restaurant Samrat","Indisches Restaurant","4.5","9","Florianigasse 20","1080","Wien","Josefstadt","01 4084741","","€ 11-20"
"Bamboo","Chinesisches RestaurantAsiatisches Restaurant","4.0","23","Margaretenstr. 51","1050","Wien","Margareten","01 5854061","bamboo-restaurant.at","€ 11-20"
"Kiang","Asiatisches Restaurant","4.0","19","Rotgasse 8","1010","Wien","Innere Stadt","01 5330856","kiang.at","€ 11-20"
"Pizzeria da Peppino","Italienisches RestaurantPizza","5.0","6","Lerchenfelder Str. 65","1070","Wien","Neubau","01 9614121","dapeppino.at","€ 11-20"
"I Vecchi Amici","PizzaItalienisches Restaurant","4.5","8","Liechtensteinstr. 24","1090","Wien","Alsergrund","01 3191286","ivecchiamici.at","€ 21-40"
"Oishi Sushi","SushiJapanisches RestaurantWok","5.0","3","Gumpendorferstr. 36","1060","Wien","Mariahilf","01 5857819","","Unter € 10"
"AJ’S American Diner","Amerikanisches RestaurantLieferservice","4.0","16","Gumpendorferstr. 63a","1060","Wien","Mariahilf","01 2088282","","€ 11-20"
"","Burger","3.5","25","Opernring 11","1010","Wien","Innere Stadt","01 5356969","butcher-cow.at","€ 11-20"
"Café Orient","Coffee ShopNahöstliches Restaurant","3.5","13","Neubaugasse 59","1070","Wien","Neubau","01 2366858","cafeorient.at","Unter € 10"
"Gabel & Co","Österreichisches Restaurant","4.5","16","Julius Tandler Platz 1","1090","Wien","Alsergrund","01 3170316","","€ 11-20"
"Thali","Indisches Restaurant","4.0","20","Vorgartenstr. 173","1020","Wien","Leopoldstadt","01 2124477","go-thali.at","€ 11-20"
"Spirali","Italienisches RestaurantModern-Europäisches Restaurant","4.5","7","Kirchengasse 22","1070","Wien","Neubau","01 8902126","spirali.at","€ 11-20"
"Bäckerei RITZ","Bäckereien & KonditoreienCaféCoffee Shop","4.0","10","Spitalgasse 33","1090","Wien","Alsergrund","01 4023700","ritz.cc","Unter € 10"
"Schnitzel Landmann","Fast FoodÖsterreichisches Restaurant","4.5","5","Alserstr. 57","1080","Wien","Josefstadt","","schnitzel-landmann.at","€ 11-20"
