name,category,ratevalue,reviewcount,address,postcode,city,area,telephone,website,price,url
"Z10","Chinesisches RestaurantAsiatisches RestaurantLieferservice","4.0","8","Zinzendorfgasse 10","8010","Graz","","0316 225337","z10.at","€ 11-20","http://www.yelp.at/biz/z10-graz"
"Goldene Schwalbe","Chinesisches Restaurant","3.5","2","Lagergasse 67","8020","Graz","","0316 724199","","","http://www.yelp.at/biz/goldene-schwalbe-graz"
"NITTEL’s","Restaurant","","","Keplerstraße 57","8020","Graz","","04369 917701737","nittels.at","","http://www.yelp.at/biz/nittels-graz"
"Loana CakeAway","Champagner BarCaféCoffee Shop","","","Sporgasse 26","8010","Graz","","0664 1217872","cakeaway.at","Unter € 10","http://www.yelp.at/biz/loana-cakeaway-graz"
"Cafe La Strada","Restaurant","4.0","1","Grabenstr. 14","8010","Graz","","0316 688722","","","http://www.yelp.at/biz/cafe-la-strada-graz"
"Cosimo","Mediterranes Restaurant","4.0","1","Hofgasse 8","8010","Graz","","0316 839836","cosimo.co.at/#_=_","","http://www.yelp.at/biz/cosimo-graz"
"Dean & David","Modern-Europäisches Restaurant","3.5","2","Jakoministr. 34","8010","Graz","","","deananddavid.de","Unter € 10","http://www.yelp.at/biz/dean-und-david-graz-2"
"China-Restaurant Hong-Kong","Chinesisches Restaurant","5.0","1","Jakoministrasse 19","8010","Graz","","0316 825397","","€ 11-20","http://www.yelp.at/biz/china-restaurant-hong-kong-graz"
"Dionysos","Griechisches Restaurant","4.0","8","Färbergasse 6/8Ecke Prokopigasse 1","8010","Graz","","0316 810181","restaurant-dionysos.at","€ 21-40","http://www.yelp.at/biz/dionysos-graz"
"Fontana Di Trevi","PizzaLieferserviceItalienisches Restaurant","3.0","19","Schumanngasse 4","8010","Graz","","0316 383602","fontanaditrevi.at","€ 11-20","http://www.yelp.at/biz/fontana-di-trevi-graz"
"Rikscha","Vietnamesisches Restaurant","4.5","11","Graben 31","4020","Linz","","0732 782144","","Unter € 10","http://www.yelp.at/biz/rikscha-linz"
"Buschenschank Bürger","WeinbarÖsterreichisches Restaurant","","","Briefelsdorf 1","9560","Feldkirchen in Kärnten","","0664 2380030","buschenschank.jimdo.com","","http://www.yelp.at/biz/buschenschank-b%C3%BCrger-feldkirchen-in-k%C3%A4rnten"
"Fuzo Pizza & Kebap","Essen & TrinkenPizza","","","Linzer Str. 42","4614","Marchtrenk","","07243 51570","","","http://www.yelp.at/biz/fuzo-pizza-and-kebap-marchtrenk"
"Yoshiś Zustellservice","Fast Food","","","Sankt Martiner Str.19","9500","Villach","","04242 51276","yoshis.at","","http://www.yelp.at/biz/yoshi%C5%9B-zustellservice-villach"
"Eduardo’s Pizza Service, Gattringer","Eisdiele & Frozen YogurtPizzaLieferserviceItalienisches Restaurant","1.5","3","Italiener Strasse 17","9500","Villach","","04242 2199210","eduardos.at","","http://www.yelp.at/biz/eduardos-pizza-service-gattringer-villach-2"
"Mr. WU","LieferserviceSushi","","","Ringmauergasse 14","9500","Villach","","04242 29998","mrwu.at","€ 11-20","http://www.yelp.at/biz/mr-wu-villach"
"Restaurant Weinbar Galeria","WeinbarItalienisches Restaurant","4.0","1","Postgasse 6","9500","Villach","","","restaurantgaleria.com","€ 21-40","http://www.yelp.at/biz/restaurant-weinbar-galeria-villach"
"Restaurant Trink-Pizzeria Sul lago","Italienisches Restaurant","4.0","1","Seeblickstr. 55","9580","Villach","","04254 2307","drobollach.net","€ 11-20","http://www.yelp.at/biz/restaurant-trink-pizzeria-sul-lago-villach"
"Mr.Wu","Chinesisches Restaurant","4.0","1","Ringmauergasse 12","9500","Villach","","","","Unter € 10","http://www.yelp.at/biz/mr-wu-villach-2"
"Sakura Hu KEG","Japanisches Restaurant","4.5","8","Völkendorfer Str. 6","9500","Villach","","0699 19679516","","Unter € 10","http://www.yelp.at/biz/sakura-hu-keg-villach"
"Restaurant Stern","Steakhouse","5.0","5","Kaiser-Josef-Platz 5","9500","Villach","","04242 24755","stern-villach.com","€ 21-40","http://www.yelp.at/biz/restaurant-stern-villach"
"Pizzeria Nicoletta","Italienisches Restaurant","4.5","13","Treffnerstrasse 100","9500","Villach","","04242 22717","nicoletta.at","€ 11-20","http://www.yelp.at/biz/pizzeria-nicoletta-villach"
"Pizzeria - Ristorante - Semo","Pizza","5.0","1","Salzburgerstraße  67","4600","Wels","","07242 25686","pizza-semo.com","Unter € 10","http://www.yelp.at/biz/pizzeria-ristorante-semo-wels"
"I&M Grill","Kroatisches Restaurant","","","Eferdingerstr. 72","4600","Wels","","0676 7969546","im-grill.at","€ 11-20","http://www.yelp.at/biz/i-und-m-grill-wels"
"PizzaMann","PizzaItalienisches Restaurant","2.0","4","Viaduktbogen 21","6020","Innsbruck","","0512 584432","mjam.net/at/#page=restaurant/…","€ 11-20","http://www.yelp.at/biz/pizzamann-innsbruck"
"Schiller´s","BarKebabPizza","","","Langgasse 2a","4020","Volksgartenviertel","","0732 273993","","Unter € 10","http://www.yelp.at/biz/schiller-s-volksgartenviertel"
"Pizzeria Hitz","Pizza","","","Hanuschstr. 78","4020","Linz","","0732 661190","","","http://www.yelp.at/biz/pizzeria-hitz-linz"
"Bonsai","Asiatisches Restaurant","3.5","2","Burggraben 17","6020","Innsbruck","","0512 581423","","","http://www.yelp.at/biz/bonsai-innsbruck?ytprail=1"
"Pizza Italy of Salzburg","PizzaItalienisches Restaurant","5.0","1","Ignaz-Harrerstrasse 83Staatlich geprüfte Fremdenführer","5020","Salzburg","","0662 434340","","","http://www.yelp.at/biz/pizza-italy-of-salzburg-salzburg"
"Popeye Kebab","Türkisches RestaurantKebab","","","Ignaz-Harrer-Str. 56","5020","Salzburg","","0664 4839436","popeye-kebab.at","","http://www.yelp.at/biz/popeye-kebab-salzburg"
"Milton!","Internationales RestaurantVeganes RestaurantVegetarisches Restaurant","","","Vogelweiderstr. 61","5020","Salzburg","","0676 3661174","milton-salzburg.at","","http://www.yelp.at/biz/milton-salzburg"
"Pizza Boys of Salzburg","Italienisches RestaurantPizza","5.0","1","Ganshofstr. 9","5020","Salzburg","","0662 828494","pizzaboys.at","€ 11-20","http://www.yelp.at/biz/pizza-boys-of-salzburg-salzburg"
"Diyar Kebap & Pizza","KebabPizza","2.5","2","Elisabeth Str. 44","5020","Salzburg","","0662 452046","","Unter € 10","http://www.yelp.at/biz/diyar-kebap-und-pizza-salzburg"
"China Restaurant Shanghai Town Salzburg","Chinesisches Restaurant","4.0","2","Franz-Josefstr. 24","5020","Salzburg","","","shanghaitown-salzburg.com","€ 11-20","http://www.yelp.at/biz/china-restaurant-shanghai-town-salzburg-salzburg"
"Asia Bistro","Fast Food","5.0","1","Wiener Straße 61","4020","Linz","","0732 604655","","Unter € 10","http://www.yelp.at/biz/asia-bistro-linz"
"Unipizza","KebabPizza","3.0","1","Johann-Wilhelm-Klein-Str. 53","4040","Linz","","0732 243455","unipizza.at","Unter € 10","http://www.yelp.at/biz/unipizza-linz"
"Da Vinci Linz","Mexikanisches RestaurantItalienisches RestaurantGriechisches Restaurant","5.0","2","Schillerstr. 2","4020","Linz","","0732 601775","davinci-ristorante.at","€ 11-20","http://www.yelp.at/biz/da-vinci-linz-linz"
"Phone Box","PizzaBurgerÖsterreichisches Restaurant","","","Weißenwolffstr. 1","4020","Linz","","0732 776271","phonebox-pizzeria.at","€ 11-20","http://www.yelp.at/biz/phone-box-linz-2"
"sahib","Essen & TrinkenIndisches Restaurant","3.0","14","sillgasse 3indian restaurant Sahib/ zum 1.Inder","6020","Innsbruck","","0512 571468","sahib.at","€ 21-40","http://www.yelp.at/biz/sahib-innsbruck"
"Ristorante Il Dottore","Italienisches Restaurant","3.5","5","Kaiserjägerstr. 1","6020","Innsbruck","","0512 932666","il-dottore.net","€ 11-20","http://www.yelp.at/biz/ristorante-il-dottore-innsbruck"
"China Restaurant Kaiser","Chinesisches Restaurant","4.5","10","Defreggerstr. 26","6020","Innsbruck","","0512 395670","chinarestaurant-kaiser.at","€ 11-20","http://www.yelp.at/biz/china-restaurant-kaiser-innsbruck"
"Madhuban Restaurant","Indisches RestaurantVegetarisches RestaurantLounge","4.0","16","Müllerstr. 11","6020","Innsbruck","","0512 589157","madhuban.at","€ 11-20","http://www.yelp.at/biz/madhuban-restaurant-innsbruck"
"Noi","Thailändisches Restaurant","4.5","9","Kaiserjägerstrasse  1","6020","Innsbruck","","0512 589777","noithaikueche.at","€ 11-20","http://www.yelp.at/biz/noi-innsbruck"
"Ristorante Pizzeria Sapori","PizzaItalienisches Restaurant","4.5","20","Fallmerayerstrasse 12","6020","Innsbruck","","0512 587530","sapori.at","€ 11-20","http://www.yelp.at/biz/ristorante-pizzeria-sapori-innsbruck"
"Testa Rossa","CaféCoffee Shop","4.0","3","Südtiroler Platz 13","5020","Salzburg","","0662 453435","testarossacaffe.com","","http://www.yelp.at/biz/testa-rossa-salzburg"
"Schnitzlwirt","Österreichisches Restaurant","4.5","3","Siebenstädterstrasse 19","5020","Salzburg","","0662 431283","s-schnitzl.at","€ 11-20","http://www.yelp.at/biz/schnitzlwirt-salzburg"
"Il Padrino","Italienisches RestaurantPizza","4.0","8","Haunspergstr. 35 / Jahnstr.8","5020","Salzburg","","0662 870879","","€ 11-20","http://www.yelp.at/biz/il-padrino-salzburg"
"Donna’s Thaiküche","Thailändisches Restaurant","4.0","9","Leopoldskronstr. 7","5020","Salzburg","","0699 11985880","thaikueche.at","€ 11-20","http://www.yelp.at/biz/donnas-thaik%C3%BCche-salzburg"
"Cafe Pamina","Restaurant","4.0","10","Judengasse 17","5020","Salzburg","","0662 842338","","€ 11-20","http://www.yelp.at/biz/cafe-pamina-salzburg"
"Aganigi Naganigi","Kebab","4.5","3","Ignaz-Harrer-Str. 55","5020","Salzburg","","","","€ 11-20","http://www.yelp.at/biz/aganigi-naganigi-salzburg"
"Rasa Sayang","Asiatisches Restaurant","4.0","9","Moosstr. 22","5020","Salzburg","","0662 828074","rasa-sayang.at","€ 11-20","http://www.yelp.at/biz/rasa-sayang-salzburg"
"Zum guten Hirten","Österreichisches RestaurantBiergarten","4.5","16","Bahnhofstr. 1","5020","Salzburg","","0662 451006","zumgutenhirten.com","€ 11-20","http://www.yelp.at/biz/zum-guten-hirten-salzburg"
"Tokyo Bay","Japanisches RestaurantSushi","4.5","14","Ignaz-Harrer-Str. 38","5020","Salzburg","","0662 243106","tokyobay.at","€ 21-40","http://www.yelp.at/biz/tokyo-bay-salzburg"
"Hotel Bristol","RestaurantNightlifeHotel","5.0","5","Makartplatz 4","5020","Salzburg","","0662 873557","","Über € 41","http://www.yelp.at/biz/hotel-bristol-salzburg"
"Restaurant Kaiserstube","RestaurantPub","4.5","8","Museumstr. 31","6020","Innsbruck","","0512 589889","kaiserstube.com","€ 11-20","http://www.yelp.at/biz/restaurant-kaiserstube-innsbruck"
"Restaurant Koschat 2000","Essen & TrinkenPizzaItalienisches Restaurant","2.0","6","Stift-Viktring-Strasse 1","9073","Klagenfurt-Viktring","","0463 282523","","€ 11-20","http://www.yelp.at/biz/restaurant-koschat-2000-klagenfurt-viktring"
"McDonald’s","BurgerFast Food","4.5","4","Herzog-Friedrich-Str. 35","6020","Innsbruck","","0512 5628070","mcdonalds.at","Unter € 10","http://www.yelp.at/biz/mcdonalds-innsbruck-5"
"China Restaurant Bambus","Chinesisches Restaurant","5.0","1","Klagenfurterstr. 5","9170","Ferlach","","04227 20470","","€ 11-20","http://www.yelp.at/biz/china-restaurant-bambus-ferlach"
"Pizza Panorama","PizzaItalienisches Restaurant","3.0","1","Waidmannsdorfer Strasse 57","9020","Klagenfurt","","0463 22111","pizza-panorama.at","","http://www.yelp.at/biz/pizza-panorama-klagenfurt"
"Fallaloon F-Express","Asiatisches Restaurant","4.0","3","Völkermarkter Straße  225","9020","Klagenfurt","","","fallaloon.at","€ 11-20","http://www.yelp.at/biz/fallaloon-f-express-klagenfurt"
"Lavista","Mexikanisches Restaurant","2.5","3","Herreng 12","9020","Klagenfurt","","0676 84757730","","€ 11-20","http://www.yelp.at/biz/lavista-klagenfurt"
"Gasthof Kirschnerhof","Österreichisches Restaurant","5.0","1","Kirschnerstrasse 10","9161","Maria Rain","","04227 84922","","€ 11-20","http://www.yelp.at/biz/gasthof-kirschnerhof-maria-rain"
"Pizzeria Agli Amici","PizzaItalienisches Restaurant","4.0","6","Herbertstrasse 1/1","9020","Klagenfurt","","0463 513842","","Über € 41","http://www.yelp.at/biz/pizzeria-agli-amici-klagenfurt"
"Cafe am Platz","CaféCoffee Shop","4.0","1","Neuer Platz 9","9020","Klagenfurt","","0676 3330222","jammer.at/cafeamplatz/home","Unter € 10","http://www.yelp.at/biz/cafe-am-platz-klagenfurt-2"
"Pizza Mir","LieferserviceKebabPizza","4.0","1","Museumstr. 19","4020","Linz","","0732 783846","pizzamir.at","Unter € 10","http://www.yelp.at/biz/pizza-mir-linz"
"Burger Checker","Burger","3.5","6","Freistädter Str. 313","4040","Linz","","0660 1101200","","€ 11-20","http://www.yelp.at/biz/burger-checker-linz-2"
"Pizza Service Solo","PizzaLieferservice","4.5","2","Füchselstr.14","4020","Linz","","","","€ 11-20","http://www.yelp.at/biz/pizza-service-solo-linz"
"Pizza Baron","Pizza","5.0","1","Wiener Str. 6","4020","Linz","","0732 661190","","Unter € 10","http://www.yelp.at/biz/pizza-baron-linz"
"Schnitzelhaus","Fast FoodÖsterreichisches Restaurant","5.0","1","Hauptstr. 66","4040","Linz","","0501 01050","schnitzelhaus.com","","http://www.yelp.at/biz/schnitzelhaus-linz"
"Tom Yam","Thailändisches Restaurant","4.0","6","Konrad-Vogel-Str. 11","4020","Linz","","0732 946969","tomyam.at","€ 11-20","http://www.yelp.at/biz/tom-yam-linz-2"
"China-Palast","Chinesisches Restaurant","3.5","5","Eisenhandstr. 30","4020","Linz","","0732 7688-0","chinapalast.at","€ 11-20","http://www.yelp.at/biz/china-palast-linz"
"Akakiko","Japanisches Restaurant","3.5","19","Landstr. 17-25Passage Center, 3. Stock","4020","Linz","","057 333170","akakiko.at/index.html","€ 21-40","http://www.yelp.at/biz/akakiko-linz-2"
"Non Solo Vino","Italienisches RestaurantDelikatessenPizza","5.0","3","Bischofstr. 15","4020","Linz","","0732 797788","nonsolovino.at","€ 11-20","http://www.yelp.at/biz/non-solo-vino-linz"
